MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
11001 Porto Velho;689580,00;49453,00;1025,00;21585,73;789,56;1,92;40737,00;59,08;49577,00;0,07;116866,00;0,17;124,00;0,54;1407,00;2,04;1219,00;1,77;349,00;0,51;734,00;1,06;2050,00;2,97;456,00;0,66;83,00;0,12;32,00;0,05;427,00;0,62;71,71;1,49
11002 Guajará-Mirim;86035,00;4395,00;108,00;14553,78;447,92;1,82;2983,00;34,67;5390,00;0,06;10655,00;0,12;26,00;0,91;76,00;0,88;90,00;1,05;11,00;0,13;189,00;2,20;187,00;2,17;6,00;0,07;0,00;0,00;0,00;0,00;6,00;0,07;51,08;1,26
11003 Ariquemes;209694,00;11235,00;163,00;14852,49;558,54;1,91;1096,00;5,23;14579,00;0,07;31340,00;0,15;46,00;0,66;206,00;0,98;185,00;0,88;47,00;0,22;322,00;1,54;391,00;1,86;84,00;0,40;27,00;0,13;4,00;0,02;83,00;0,40;53,58;0,78
11004 Ji-Paraná;293651,00;11427,00;226,00;15977,72;582,65;1,13;4860,00;16,55;30091,00;0,10;57906,00;0,20;89,00;0,91;349,00;1,19;270,00;0,92;72,00;0,25;591,00;2,01;715,00;2,43;91,00;0,31;0,00;0,00;0,00;0,00;62,00;0,21;38,91;0,77
11005 Alvorada D'Oeste;69523,00;1891,00;32,00;12972,47;456,88;1,18;4964,00;71,40;4672,00;0,07;7635,00;0,11;18,00;0,78;25,00;0,36;52,00;0,75;13,00;0,19;169,00;2,43;159,00;2,29;60,00;0,86;4,00;0,06;0,00;0,00;8,00;0,12;27,20;0,46
11006 Cacoal;237069,00;9040,00;130,00;15085,52;588,55;1,41;31050,00;130,97;32472,00;0,14;43428,00;0,18;68,00;0,86;449,00;1,89;377,00;1,59;121,00;0,51;461,00;1,94;645,00;2,72;83,00;0,35;38,00;0,16;13,00;0,05;75,00;0,32;38,13;0,55
11007 Vilhena;164604,00;7084,00;106,00;21111,88;690,68;0,88;3471,00;21,09;32058,00;0,19;31964,00;0,19;44,00;0,80;220,00;1,34;203,00;1,23;74,00;0,45;301,00;1,83;315,00;1,91;2,00;0,01;24,00;0,15;7,00;0,04;31,00;0,19;43,04;0,64
11008 Colorado Oeste;46304,00;1204,00;27,00;16780,58;496,96;0,66;125,00;2,70;6579,00;0,14;9241,00;0,20;19,00;1,23;38,00;0,82;58,00;1,25;15,00;0,32;140,00;3,02;124,00;2,68;47,00;1,02;3,00;0,06;0,00;0,00;3,00;0,06;26,00;0,58
12001 Cruzeiro do Sul;159274,00;6715,00;102,00;10843,51;344,96;8,33;3206,00;20,13;14142,00;0,09;6778,00;0,04;71,00;1,34;134,00;0,84;211,00;1,32;34,00;0,21;349,00;2,19;308,00;1,93;218,00;1,37;10,00;0,06;1,00;0,01;56,00;0,35;42,16;0,64
12002 Tarauacá;86508,00;4747,00;41,00;8572,33;239,55;16,88;1127,00;13,03;4582,00;0,05;3172,00;0,04;21,00;0,73;39,00;0,45;55,00;0,64;4,00;0,05;148,00;1,71;93,00;1,08;13,00;0,15;3,00;0,03;0,00;0,00;2,00;0,02;54,87;0,47
12003 Sena Madureira;62809,00;3467,00;21,00;10206,78;303,64;13,07;1826,00;29,07;5066,00;0,08;2820,00;0,04;22,00;1,05;28,00;0,45;62,00;0,99;8,00;0,13;133,00;2,12;104,00;1,66;2,00;0,03;3,00;0,05;0,00;0,00;2,00;0,03;55,20;0,33
12004 Rio Branco;513351,00;22225,00;571,00;17851,07;633,27;2,68;147036,00;286,42;57297,00;0,11;90870,00;0,18;115,00;0,67;761,00;1,48;752,00;1,46;161,00;0,31;844,00;1,64;1025,00;2,00;1,00;0,00;40,00;0,08;12,00;0,02;162,00;0,32;43,29;1,11
12005 Brasiléia;72528,00;4466,00;60,00;12741,42;369,14;7,79;6465,00;89,14;9034,00;0,12;8296,00;0,11;25,00;1,03;51,00;0,70;95,00;1,31;11,00;0,15;182,00;2,51;83,00;1,14;51,00;0,70;3,00;0,04;0,00;0,00;3,00;0,04;61,58;0,83
13001 Rio Negro AM;119734,00;11579,00;121,00;5158,19;253,21;17,56;1955,00;16,33;7405,00;0,06;6932,00;0,06;28,00;0,70;75,00;0,63;171,00;1,43;15,00;0,13;259,00;2,16;161,00;1,34;8,00;0,07;7,00;0,06;1,00;0,01;11,00;0,09;96,71;1,01
13002 Japurá;20512,00;1767,00;9,00;6071,49;162,15;15,33;1607,00;78,34;1958,00;0,10;985,00;0,05;13,00;1,90;11,00;0,54;29,00;1,41;3,00;0,15;88,00;4,29;39,00;1,90;14,00;0,68;2,00;0,10;0,00;0,00;#NULO!;0,00;86,14;0,44
13003 Alto Solimões;254355,00;12579,00;270,00;5995,60;208,09;14,56;5768,00;22,68;18050,00;0,07;8478,00;0,03;93,00;1,10;145,00;0,57;324,00;1,27;28,00;0,11;912,00;3,59;330,00;1,30;12,00;0,05;17,00;0,07;0,00;0,00;39,00;0,15;49,45;1,06
13004 Juruá;154894,00;12397,00;80,00;7362,30;204,22;17,56;5994,00;38,70;10757,00;0,07;7217,00;0,05;52,00;1,01;66,00;0,43;120,00;0,77;18,00;0,12;436,00;2,81;226,00;1,46;1153,00;7,44;10,00;0,06;0,00;0,00;10,00;0,06;80,04;0,52
13005 Tefé;89457,00;7562,00;145,00;8124,47;328,74;8,42;10333,00;115,51;11536,00;0,13;9030,00;0,10;29,00;0,97;42,00;0,47;85,00;0,95;20,00;0,22;302,00;3,38;141,00;1,58;4,00;0,04;5,00;0,06;0,00;0,00;12,00;0,13;84,53;1,62
13006 Coari;183887,00;12804,00;189,00;33086,87;267,14;10,41;31489,00;171,24;11671,00;0,06;13937,00;0,08;66,00;1,08;85,00;0,46;162,00;0,88;24,00;0,13;492,00;2,68;233,00;1,27;4,00;0,02;7,00;0,04;0,00;0,00;13,00;0,07;69,63;1,03
13007 Manaus;2509626,00;95208,00;3704,00;29680,93;684,66;3,10;731105,00;291,32;370481,00;0,15;458451,00;0,18;398,00;0,48;3882,00;1,55;3457,00;1,38;595,00;0,24;2248,00;0,90;3732,00;1,49;45,00;0,02;169,00;0,07;46,00;0,02;1163,00;0,46;37,94;1,48
13008 R.Preto da Eva;71299,00;6030,00;65,00;17406,06;347,13;5,22;7660,00;107,43;7029,00;0,10;5752,00;0,08;27,00;1,14;36,00;0,50;74,00;1,04;12,00;0,17;172,00;2,41;58,00;0,81;1,00;0,01;4,00;0,06;0,00;0,00;15,00;0,21;84,57;0,91
13009 Itacoatiara;182772,00;8457,00;161,00;11248,53;309,68;6,35;5317,00;29,09;21429,00;0,12;15367,00;0,08;62,00;1,02;107,00;0,59;181,00;0,99;30,00;0,16;512,00;2,80;210,00;1,15;8,00;0,04;9,00;0,05;1,00;0,01;11,00;0,06;46,27;0,88
13010 Parintins;284437,00;14325,00;285,00;8103,15;249,02;5,34;3187,00;11,20;30121,00;0,11;23334,00;0,08;84,00;0,89;121,00;0,43;298,00;1,05;40,00;0,14;774,00;2,72;386,00;1,36;50,00;0,18;13,00;0,05;1,00;0,00;36,00;0,13;50,36;1,00
13011 Boca do Acre;54157,00;3623,00;28,00;6743,57;258,16;15,43;2260,00;41,73;5311,00;0,10;2364,00;0,04;13,00;0,72;31,00;0,57;45,00;0,83;16,00;0,30;166,00;3,07;86,00;1,59;223,00;4,12;4,00;0,07;0,00;0,00;4,00;0,07;66,90;0,52
13012 Purus;79704,00;5941,00;61,00;8250,61;209,93;15,16;9333,00;117,10;5111,00;0,06;5009,00;0,06;26,00;0,98;40,00;0,50;110,00;1,38;6,00;0,08;266,00;3,34;109,00;1,37;3,00;0,04;3,00;0,04;0,00;0,00;8,00;0,10;74,54;0,77
